DEBUG 2025-05-17 13:30:34,951 autoreload 27984 11464 File D:\Applications\Develop\Python313\Lib\site-packages\django\core\validators.py first seen with mtime 1746600335.0720108
DEBUG 2025-05-17 13:30:34,951 autoreload 27984 11464 File C:\Users\CSD\PycharmProjects\deepstudent2\learning_path_recommendation\__init__.py first seen with mtime 1747279770.9515173
DEBUG 2025-05-17 13:30:34,951 autoreload 27984 11464 File D:\Applications\Develop\Python313\Lib\typing.py first seen with mtime 1738658256.0
DEBUG 2025-05-17 13:30:34,951 autoreload 27984 11464 File C:\Users\CSD\PycharmProjects\deepstudent2\lesson_plan_generator\models.py first seen with mtime 1747279770.9515173
DEBUG 2025-05-17 13:30:34,952 autoreload 27984 11464 File D:\Applications\Develop\Python313\Lib\platform.py first seen with mtime 1738658256.0
DEBUG 2025-05-17 13:30:34,952 autoreload 27984 11464 File D:\Applications\Develop\Python313\Lib\site-packages\django\db\utils.py first seen with mtime 1746600335.0916471
DEBUG 2025-05-17 13:30:34,952 autoreload 27984 11464 File D:\Applications\Develop\Python313\Lib\site-packages\django\db\migrations\autodetector.py first seen with mtime 1746600335.103129
DEBUG 2025-05-17 13:30:34,952 autoreload 27984 11464 File D:\Applications\Develop\Python313\Lib\site-packages\django\contrib\sessions\base_session.py first seen with mtime 1746600334.9678154
DEBUG 2025-05-17 13:30:34,952 autoreload 27984 11464 File D:\Applications\Develop\Python313\Lib\gettext.py first seen with mtime 1738658256.0
DEBUG 2025-05-17 13:30:34,979 autoreload 27984 11464 File C:\Users\CSD\PycharmProjects\deepstudent2\class_interaction\signals.py first seen with mtime 1747401026.119119
DEBUG 2025-05-17 13:30:34,980 autoreload 27984 11464 File D:\Applications\Develop\Python313\Lib\site-packages\django\db\migrations\utils.py first seen with mtime 1746600335.106464
DEBUG 2025-05-17 13:30:34,980 autoreload 27984 11464 File D:\Applications\Develop\Python313\Lib\site-packages\django\contrib\admin\options.py first seen with mtime 1746600334.4277503
DEBUG 2025-05-17 13:30:34,980 autoreload 27984 11464 File D:\Applications\Develop\Python313\Lib\site-packages\django\conf\locale\__init__.py first seen with mtime 1746600334.337439
DEBUG 2025-05-17 13:30:34,980 autoreload 27984 11464 File D:\Applications\Develop\Python313\Lib\site-packages\colorama\winterm.py first seen with mtime 1742047599.2845263
DEBUG 2025-05-17 13:30:34,981 autoreload 27984 11464 File D:\Applications\Develop\Python313\Lib\asyncio\base_futures.py first seen with mtime 1738658256.0
DEBUG 2025-05-17 13:30:34,981 autoreload 27984 11464 File D:\Applications\Develop\Python313\Lib\site-packages\django\contrib\staticfiles\apps.py first seen with mtime 1746600335.06758
DEBUG 2025-05-17 13:30:34,982 autoreload 27984 11464 File C:\Users\CSD\PycharmProjects\deepstudent2\class_performance\__init__.py first seen with mtime 1747279770.9515173
DEBUG 2025-05-17 13:30:34,982 autoreload 27984 11464 File D:\Applications\Develop\Python313\Lib\site-packages\django\db\models\fields\files.py first seen with mtime 1746600335.1128895
DEBUG 2025-05-17 13:30:34,983 autoreload 27984 11464 File D:\Applications\Develop\Python313\Lib\site-packages\django\views\generic\detail.py first seen with mtime 1746600335.1597872
DEBUG 2025-05-17 13:30:34,983 autoreload 27984 11464 File D:\Applications\Develop\Python313\Lib\site-packages\django\db\migrations\operations\fields.py first seen with mtime 1746600335.1072288
DEBUG 2025-05-17 13:30:34,983 autoreload 27984 11464 File D:\Applications\Develop\Python313\Lib\site-packages\django\template\smartif.py first seen with mtime 1746600335.1408284
DEBUG 2025-05-17 13:30:34,984 autoreload 27984 11464 File D:\Applications\Develop\Python313\Lib\site-packages\django\db\backends\base\validation.py first seen with mtime 1746600335.0946877
DEBUG 2025-05-17 13:30:34,984 autoreload 27984 11464 File D:\Applications\Develop\Python313\Lib\site-packages\django\utils\dateparse.py first seen with mtime 1746600335.1499934
DEBUG 2025-05-17 13:30:34,984 autoreload 27984 11464 File D:\Applications\Develop\Python313\Lib\email\mime\__init__.py first seen with mtime 1738658256.0
DEBUG 2025-05-17 13:30:34,984 autoreload 27984 11464 File D:\Applications\Develop\Python313\Lib\email\base64mime.py first seen with mtime 1738658256.0
DEBUG 2025-05-17 13:30:34,985 autoreload 27984 11464 File C:\Users\CSD\PycharmProjects\deepstudent2\manage.py first seen with mtime 1747279770.9515173
DEBUG 2025-05-17 13:30:34,985 autoreload 27984 11464 File D:\Applications\Develop\Python313\Lib\encodings\gbk.py first seen with mtime 1738658256.0
DEBUG 2025-05-17 13:30:34,985 autoreload 27984 11464 File D:\Applications\Develop\Python313\Lib\token.py first seen with mtime 1738658256.0
DEBUG 2025-05-17 13:30:34,985 autoreload 27984 11464 File D:\Applications\Develop\Python313\Lib\datetime.py first seen with mtime 1738658256.0
DEBUG 2025-05-17 13:30:34,986 autoreload 27984 11464 File D:\Applications\Develop\Python313\Lib\site-packages\django\db\migrations\serializer.py first seen with mtime 1746600335.105957
DEBUG 2025-05-17 13:30:34,986 autoreload 27984 11464 File D:\Applications\Develop\Python313\Lib\site-packages\django\template\loaders\base.py first seen with mtime 1746600335.1423535
DEBUG 2025-05-17 13:30:34,986 autoreload 27984 11464 File C:\Users\CSD\PycharmProjects\deepstudent2\class_interaction\apps.py first seen with mtime 1747401015.1623132
DEBUG 2025-05-17 13:30:34,986 autoreload 27984 11464 File C:\Users\CSD\PycharmProjects\deepstudent2\authentication\admin.py first seen with mtime 1747417560.4454396
DEBUG 2025-05-17 13:30:35,006 autoreload 27984 11464 File D:\Applications\Develop\Python313\Lib\urllib\request.py first seen with mtime 1738658256.0
DEBUG 2025-05-17 13:30:35,006 autoreload 27984 11464 File D:\Applications\Develop\Python313\DLLs\_bz2.pyd first seen with mtime 1738658306.0
DEBUG 2025-05-17 13:30:35,007 autoreload 27984 11464 File D:\Applications\Develop\Python313\Lib\email\parser.py first seen with mtime 1738658256.0
DEBUG 2025-05-17 13:30:35,007 autoreload 27984 11464 File C:\Users\CSD\PycharmProjects\deepstudent2\lesson_plan_generator\admin.py first seen with mtime 1747279770.9515173
DEBUG 2025-05-17 13:30:35,007 autoreload 27984 11464 File C:\Users\CSD\PycharmProjects\deepstudent2\user_management\admin.py first seen with mtime 1747279770.9671407
DEBUG 2025-05-17 13:30:35,008 autoreload 27984 11464 File D:\Applications\Develop\Python313\Lib\site-packages\django\contrib\sites\requests.py first seen with mtime 1746600335.0233264
DEBUG 2025-05-17 13:30:35,008 autoreload 27984 11464 File D:\Applications\Develop\Python313\Lib\site-packages\colorama\initialise.py first seen with mtime 1742047599.283527
DEBUG 2025-05-17 13:30:35,008 autoreload 27984 11464 File D:\Applications\Develop\Python313\Lib\site-packages\MySQLdb\constants\FLAG.py first seen with mtime 1747191209.3756194
DEBUG 2025-05-17 13:30:35,009 autoreload 27984 11464 File D:\Applications\Develop\Python313\Lib\string.py first seen with mtime 1738658256.0
DEBUG 2025-05-17 13:30:35,009 autoreload 27984 11464 File D:\Applications\Develop\Python313\Lib\site-packages\django\contrib\auth\signals.py first seen with mtime 1746600334.610821
DEBUG 2025-05-17 13:30:35,009 autoreload 27984 11464 File D:\Applications\Develop\Python313\Lib\dataclasses.py first seen with mtime 1738658256.0
